step,T_Loss,T_Accuracy,T_Precision,T_Recall,T_F1,V_Loss,V_Accuracy,V_Precision,V_Recall,V_F1,Elapsed_time
278,2.426237176471669,0.38281033046376006,0.21044947456848398,0.2731700555617962,0.21944839394022797,1.6752377479307112,0.5390862944162437,0.4761306631151848,0.3570131104070359,0.34121072737932473,601.227
555,1.5945568446217893,0.5812014023882255,0.3985512331950587,0.4357600038876571,0.3985596841454863,1.2165564240947846,0.6791878172588832,0.5584929035338384,0.5357802567180409,0.5303153259037217,1267.793
832,1.2965038408010876,0.6522406970286031,0.4852607628664576,0.5020793810815019,0.4776378464325754,1.0594152096779115,0.7269035532994924,0.6333518451600065,0.6144283840127989,0.609921406877886,1881.115
1109,1.1396797835181336,0.688020688697584,0.5401938577828853,0.5494141456737088,0.5287185082607324,0.9301465961240953,0.7340101522842639,0.6517539059306154,0.6342193921884209,0.6258530090643865,2502.141
1386,1.0464445739876922,0.705142668703138,0.554850411277234,0.565687676277784,0.5443339504635029,0.852185849220522,0.7573604060913706,0.6757480816117638,0.6714051401906136,0.6549148656512302,3179.287
1663,0.9812912245950114,0.7225163149125243,0.5796376536030522,0.5858014442131194,0.5669867764881539,0.780599178806428,0.783756345177665,0.7262899376044587,0.7008838095965991,0.6832294249922225,3837.468
1940,0.9263057639882883,0.7355942793668425,0.5979006214940867,0.6014832138876143,0.5850753132740943,0.8026141168609742,0.7746192893401015,0.69429096794783,0.7022109226445996,0.6768036278092158,4459.509
2217,0.8952747618893854,0.739811857817273,0.6042105685475028,0.6071855323191223,0.5909888095957375,0.7902774714654491,0.7786802030456853,0.6851282126982525,0.7026546349792969,0.6796012331157415,5135.977
2494,0.8726365214435633,0.7441248958622605,0.605668846849803,0.6094061327539515,0.593637824136475,0.7123549820915345,0.7959390862944162,0.7172225810044335,0.7205143053453528,0.7030685144307963,5757.962
2771,0.8321873898540593,0.7536274645931685,0.6218928894225982,0.6257090835292671,0.6092128425421122,0.6810464464849041,0.798984771573604,0.7173484663139531,0.7188456585846009,0.7020060507548346,6374.326
3048,0.7987087361433877,0.7639197445154123,0.6317174687241603,0.6352876418221376,0.6188938675933547,0.697060707115358,0.7939086294416243,0.7571637755210585,0.7209408804540267,0.7196429485068341,6985.545
3325,0.7928286276569435,0.763216814773674,0.6288984353672673,0.6338777635556279,0.617380457058627,0.7082848039365583,0.7918781725888325,0.7163755123389348,0.7151533670654906,0.7032745136513798,7628.289
3602,0.7705095222065165,0.7725805331852262,0.6382801281071566,0.639373519936148,0.6255159381131895,0.6652032954077567,0.7928934010152284,0.7314301281426986,0.7130007342368406,0.700130040804957,8257.210
3879,0.7444461022473414,0.7700899055817828,0.6411372734140839,0.6424050022731427,0.6280833384253008,0.6306689823827436,0.8152284263959391,0.7716196989258959,0.744572566364529,0.7282830523697003,8933.164
4156,0.7545281933748335,0.768718758678145,0.6399094104267619,0.6427184908067681,0.6274740777916317,0.66989226495066,0.7908629441624365,0.7203784898510511,0.7279115211655718,0.7156987536494059,9620.519
4433,0.7463035842787058,0.7756786309358512,0.6485681644308902,0.6500926314200823,0.6356409883280827,0.6424074432542247,0.8101522842639594,0.7578316169001598,0.753364945831378,0.7424539945304218,10257.844
4710,0.721826100446257,0.7826211469036378,0.6522805825426161,0.6541599049367638,0.6403141156610281,0.6383632411879878,0.7979695431472081,0.7258996567649978,0.7403919885978143,0.7152624302961819,10896.384
4987,0.7264944124523053,0.7783254651485698,0.6529631700746746,0.6535807326278781,0.6400268610723877,0.58893341643195,0.8101522842639594,0.763635145653633,0.7532732058675026,0.7452256952088988,11564.277
5264,0.7041066203952266,0.7833848236600944,0.6619951341822683,0.6641602304294146,0.6493956848132396,0.5998862039658331,0.8121827411167513,0.7585552701069778,0.7539108553325151,0.74196441205772,12216.714
5541,0.7076776625339736,0.7811198278256041,0.6519754341161499,0.6522682283662389,0.6392025919825015,0.6213358756034605,0.8050761421319796,0.7732109635570911,0.7423482152778604,0.7416908410270907,12835.192
